Id;name
1;gil
2;fire shard
3;ice shard
4;wind shard
5;earth shard
6;lightning shard
7;water shard
8;fire crystal
9;ice crystal
10;wind crystal
11;earth crystal
12;lightning crystal
13;water crystal
14;fire cluster
15;ice cluster
16;wind cluster
17;earth cluster
18;lightning cluster
19;water cluster
20;Storm Seal
21;Serpent Seal
22;Flame Seal
23;Allagan tomestone of philosophy
24;Allagan tomestone of mythology
25;Wolf Mark
26;Allagan tomestone of soldiery
27;Allied Seal
28;Allagan tomestone of poetics
29;MGP
30;Allagan tomestone of law
31;Allagan tomestone of esoterics
32;Allagan tomestone of lore
33;Allagan tomestone of scripture
34;Allagan tomestone of verity
35;Allagan tomestone of creation
36;Allagan tomestone of mendacity
37;Allagan tomestone of genesis
38;Allagan tomestone of goetia
39;Allagan tomestone of phantasmagoria
40;Allagan tomestone of allegory
41;Allagan tomestone of revelation
42;Allagan tomestone of aphorism
43;Allagan tomestone of astronomy
44;Allagan tomestone of causality
45;Allagan tomestone of comedy
46;Allagan tomestone of aesthetics
47;Allagan tomestone of heliometry
100;dated bronze gladius
101;dated bronze dagger
102;dated bronze spatha
103;dated blinding dagger
104;dated silencing dagger
105;dated brass gladius
106;dated brass dagger
107;dated paralyzing dagger
108;dated sleeping dagger
109;dated ash macuahuitl
110;dated iron gladius
111;dated iron dagger
112;dated iron spatha
113;dated maddening dagger
114;dated poison dagger
115;dated elm macuahuitl
116;dated bee spatha
117;dated iron falchion
118;dated iron shortsword
119;dated walnut macuahuitl
120;dated iron longsword
121;dated toothed falchion
122;dated plumed walnut macuahuitl
123;dated oak macuahuitl
124;pair of dated bone hora
125;pair of dated leather himantes
126;pair of dated bronze knuckles
127;pair of dated dodoskin cesti
128;pair of dated brass knuckles
129;pair of dated tortoiseshell hora
130;pair of dated toadskin cesti
131;pair of dated spiked knuckles
132;pair of dated boarskin himantes
133;pair of dated iron baghnakhs
134;pair of dated crabshell hora
135;pair of dated smothering baghnakhs
136;pair of dated disabling baghnakhs
137;pair of dated peiste cesti
138;pair of dated jade hora
139;dated bronze war axe
140;dated bronze labrys
141;dated spiked bronze labrys
142;dated storm axe
143;dated iron war axe
144;dated iron labrys
145;dated spiked iron labrys
146;dated inferno axe
147;dated iron bhuj
148;dated bronze bardiche
149;dated iron bill
150;dated thunderstorm axe
151;dated engraved bhuj
152;dated bronze spear
153;dated harpoon
154;dated feathered harpoon
155;dated brass spear
156;dated iron spear
157;dated iron lance
158;dated tortoiseshell harpoon
159;dated iron guisarme
160;dated battle fork
161;dated heavy iron lance
162;dated yarzonshell harpoon
163;dated jarl's guisarme
164;dated banneret lance
165;dated iron halberd
166;dated willow shortbow
167;dated maple longbow
168;dated elm shortbow
169;dated cavalry bow
170;dated wrapped maple longbow
171;dated plumed willow shortbow
172;dated willow composite bow
173;dated ironclad cavalry bow
174;dated ash longbow
175;dated elm velocity bow
176;dated weevil bow
177;dated armored cavalry bow
178;dated wrapped ash longbow
179;dated oak composite bow
180;dated yew longbow
181;dated crab bow
182;dated maple wand
183;dated budding maple wand
184;dated maple wand of flames
185;dated maple wand of gales
186;dated maple wand of storms
187;dated maple wand of tremors
188;dated maple wand of tides
189;dated maple wand of frost
190;dated willow wand
191;dated budding willow wand
192;dated willow wand of flames
193;dated willow wand of gales
194;dated willow wand of storms
195;dated willow wand of tremors
196;dated willow wand of tides
197;dated willow wand of frost
198;dated walnut wand
199;dated budding walnut wand
200;dated walnut wand of flames
201;dated walnut wand of gales
202;dated walnut wand of storms
203;dated walnut wand of tremors
204;dated walnut wand of tides
205;dated walnut wand of frost
206;dated ash cane
207;dated elm cane
208;dated pine crook
209;dated pastoral elm cane
210;dated plumed pine crook
211;dated mahogany radical
212;dated oak cane
213;dated flambeau radical
214;dated yew crook
215;dated sprouting radical
216;dated pastoral oak cane
217;dated plumed yew crook
218;dated jade crook
219;dated copper scepter
220;dated decorated copper scepter
221;dated brass cudgel
222;dated silver scepter
223;dated brand
224;dated decorated silver scepter
225;dated iron cudgel
226;dated ornate silver scepter
227;dated wind brand
228;dated earth brand
229;dated lightning brand
230;dated ice brand
231;dated fire brand
232;dated water brand
233;dated bone staff
234;dated decorated bone staff
235;dated horn staff
236;dated decorated horn staff
237;dated square maple shield
238;dated bronze hoplon
239;dated round chestnut shield
240;dated bronze buckler
241;dated square ash shield
242;dated sheepskin targe
243;dated bronze pelta
244;dated warded round shield
245;dated ironclad bronze buckler
246;dated bronze scutum
247;dated iron hoplon
248;dated round oak shield
249;dated leather targe
250;dated decorated buckler
251;dated lantern shield
252;dated iron scutum
253;dated iron pelta
254;dated serpent shield
255;dated bladed lantern shield
256;dated raptorskin targe
257;dated decorated iron scutum
258;dated bull hoplon
259;dated bronze saw
260;dated chocobotail saw
261;dated fish saw
262;dated iron saw
263;dated bas-relief iron saw
264;dated crosscut saw
265;dated iron chocobotail saw
266;dated bronze claw hammer
267;dated iron claw hammer
268;dated steel claw hammer
269;dated bronze cross-pein hammer
270;dated birdsbeak hammer
271;dated fortified birdsbeak hammer
272;dated iron cross-pein hammer
273;dated crowsbeak hammer
274;dated wrapped crowsbeak hammer
275;dated heavy crowsbeak hammer
276;dated bronze file
277;dated iron file
278;dated polished iron file
279;dated bronze doming hammer
280;dated bronze raising hammer
281;dated tin bronze raising hammer
282;dated iron doming hammer
283;dated iron raising hammer
284;dated wrapped iron raising hammer
285;dated heavy-duty iron raising hammer
286;pair of dated bronze pliers
287;pair of dated iron pliers
288;pair of dated steel pliers
289;dated bronze chaser hammer
290;dated bronze ornamental hammer
291;dated tin bronze ornamental hammer
292;dated iron chaser hammer
293;dated fortified iron chaser hammer
294;dated iron ornamental hammer
295;dated steel chaser hammer
296;dated mudstone grinding wheel
297;dated ragstone grinding wheel
298;dated siltstone grinding wheel
299;dated bronze head knife
300;dated brass head knife
301;dated heavy-duty brass head knife
302;dated iron round knife
303;dated iron head knife
304;dated darksilver head knife
305;dated steel round knife
306;dated bronze awl
307;dated iron awl
308;dated steel awl
309;dated bronze needle
310;dated hedgemole needle
311;dated iron needle
312;dated silver needle
313;dated steel needle
314;dated thousand needle
315;dated maple spinning wheel
316;dated elm spinning wheel
317;dated walnut spinning wheel
318;dated oak spinning wheel
319;dated copper alembic
320;dated brass alembic
321;dated tin alembic
322;dated iron alembic
323;dated conical alembic
324;dated silver alembic
325;dated thermal alembic
326;dated bronze mortar
327;dated iron mortar
328;dated steel mortar
329;dated bronze skillet
330;dated iron skillet
331;dated white skillet
332;dated royal kitchens skillet
333;dated iron frypan
334;dated steel skillet
335;dated bomb frypan
336;dated bronze culinary knife
337;dated iron culinary knife
338;dated mythril culinary knife
339;dated bronze pickaxe
340;dated plumed bronze pickaxe
341;dated oiled bronze pickaxe
342;dated iron pickaxe
343;dated polished iron pickaxe
344;dated dodotail pickaxe
345;dated iron dolabra
346;dated bronze sledgehammer
347;dated iron sledgehammer
348;dated mythril sledgehammer
349;dated bronze hatchet
350;dated plumed bronze hatchet
351;dated oiled bronze hatchet
352;dated brass hatchet
353;dated iron hatchet
354;dated steel hatchet
355;dated plumed iron hatchet
356;dated bronze scythe
357;dated iron scythe
